JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
GMI;8458;1411073;Różan;;13238;29.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;252509;0;828837;PL.PZGIK.200;5d416e91-ffb1-4561-92f0-9200a3f0f7ef;2021-12-29T08:58:05+01:00;EGIB;1411073;;;UZG;0;1362100;0;;0;0;0,7630480182;0,0112940161;55066834400000
GMI;6559;1425063;Jedlnia-Letnisko;;13252;29.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;252526;0;825913;PL.PZGIK.200;f624ce8a-20fb-45fc-8bef-d150fcde0e51;2021-12-29T12:55:35+01:00;EGIB;1425062;;;UZG;0;1362112;0;;0;0;0,7049243972;0,0084736634;67022378700000
GMI;20106;1001022;Bełchatów;;13215;30.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;252537;0;828632;PL.PZGIK.200;706fb74a-30ff-4dcc-9fd1-9d82ac683323;2021-12-30T08:32:23+01:00;EGIB;1001022;;;UZG;0;1362116;0;;0;0;1,7091960317;0,0259331047;59064821500000
GMI;13067;1017093;Wieluń;;13231;13.01.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;253544;0;828798;PL.PZGIK.200;0d1f5730-50e4-48e2-8631-ab92bd673ae9;2022-01-13T13:06:00+01:00;EGIB;1017093;;;UZG;0;1362230;0;;0;0;0,9949552448;0,0168132596;73093475000000
GMI;12692;0415062;Łysomice;;13395;14.01.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;253579;0;827927;PL.PZGIK.200;e4065914-8f26-4e32-b1db-d741c83122d6;2022-01-14T10:07:59+01:00;EGIB;0415062;;;UZG;0;1362256;0;;0;0;0,9409855112;0,017025021;87111873800000
GMI;10576;0415042;Lubicz;;13395;14.01.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;253679;0;827922;PL.PZGIK.200;0263346e-d217-48e6-96bd-89c26ba827c5;2022-01-14T15:37:19+01:00;EGIB;0415042;;;UZG;0;1362412;0;;0;0;0,9620083978;0,0141698255;87111871500000
GMI;14093;1406073;Mogielnica;;13265;25.01.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;254218;0;826039;PL.PZGIK.200;1722d827-a63d-4161-b73a-fa21e79978df;2022-01-25T16:07:37+01:00;EGIB;1406073;;;UZG;0;1362784;0;;0;0;0,9062576065;0,0183131867;67022344500000
GMI;12447;3026023;Dolsk;;13080;1.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;254440;0;827241;PL.PZGIK.200;0121244a-3931-46d4-b873-d5be137b2546;2022-02-01T15:18:49+01:00;EGIB;3026023;;;UZG;0;1362961;0;;0;0;0,7996106011;0,0162862087;63125816400000
GMI;18975;3011053;Śmigiel;;13098;1.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;254440;0;827393;PL.PZGIK.200;dbc5be94-86c1-4d7d-bfc2-938a4aa40c13;2022-02-01T15:18:49+01:00;EGIB;3011053;;;UZG;0;1362980;0;;0;0;1,0077731037;0,0248356395;41105055700000
GMI;17898;3011043;Krzywiń;;13098;1.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;254440;0;827391;PL.PZGIK.200;5552a885-425d-4ceb-8ce0-c50bce5576cd;2022-02-01T15:18:49+01:00;EGIB;3011043;;;UZG;0;1362981;0;;0;0;0,9452229242;0,0234158015;41105057000000
GMI;15241;2468011;Jaworzno;;13124;9.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;255915;0;827532;PL.PZGIK.200;c9240755-ef67-4b97-b59d-f21c46d70079;2022-02-09T15:18:45+01:00;EGIB;2468011;;;UZG;0;1363044;0;;0;0;0,9483122034;0,0191936087;27625537000000
GMI;2800;2414021;Imielin;;13111;9.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;255915;0;827482;PL.PZGIK.200;e2c6f26c-375e-4d76-a2ab-edb3bd9f0b6c;2022-02-09T15:18:45+01:00;EGIB;2414021;;;UZG;0;1363063;0;;0;0;0,3682424269;0,0035214942;27625826200000
GMI;6941;0418102;Lubanie;;13398;24.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;256567;0;827955;PL.PZGIK.200;6ffb9b00-ad37-4418-b627-aa97371cb828;2022-02-24T11:45:52+01:00;EGIB;0418102;;;UZG;0;1363159;0;;0;0;0,6856753693;0,0092339858;91086687300000
GMI;15866;0807032;Słońsk;;13191;11.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;259704;0;828452;PL.PZGIK.200;e3f44ddb-8d37-45e9-8f36-b0eaed429cdc;2022-03-11T11:47:13+01:00;EGIB;0807032;;;UZG;0;1363283;0;;0;0;0,8416391686;0,021027698;21096671100000
GMI;37068;1422023;Chorzele;;13249;14.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;260265;0;828963;PL.PZGIK.200;5b1fe3da-168b-46bc-afd3-a97c3317e0fd;2022-03-14T22:55:44+01:00;EGIB;1422023;;;UZG;0;1363346;0;;0;0;1,8001608879;0,0499240073;55066788200000
GMI;11209;2608032;Michałów;;13037;15.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;260279;0;826891;PL.PZGIK.200;13a958ac-06cb-45b8-9afe-fd9d094be8c3;2022-03-15T15:40:51+01:00;EGIB;2608032;;;UZG;0;1363363;0;;0;0;0,8545951303;0,0141993192;29101031700000
GMI;21283;2608043;Pińczów;;13037;17.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;260881;0;826896;PL.PZGIK.200;5f4255c0-4f0d-4395-8700-b111bfb189d4;2022-03-17T14:04:07+01:00;EGIB;2608043;;;UZG;0;1363418;0;;0;0;1,4638701363;0,0269581796;29100984000000
GMI;10836;2602072;Słupia (Jędrzejowska);;13031;21.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;260889;0;826827;PL.PZGIK.200;5910f129-0b1e-4074-ae33-d3dabc5df465;2022-03-21T09:42:45+01:00;EGIB;2602072;;;UZG;0;1363455;0;;0;0;0,7626753475;0,0137554631;29101069400000
GMI;14561;2602063;Sędziszów;;13031;21.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;260889;0;826829;PL.PZGIK.200;c70571eb-6a31-43c7-96a6-e13002bbb99c;2022-03-21T09:42:45+01:00;EGIB;2602063;;;UZG;0;1363468;0;;0;0;0,9387312323;0,018472026;29100985700000
GMI;8577;1208032;Kozłów;;13320;21.03.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;260889;0;826496;PL.PZGIK.200;f3c0fed0-df9c-484f-93c8-a9a282156504;2022-03-21T09:42:45+01:00;EGIB;1208032;;;UZG;0;1363471;0;;0;0;0,7567855668;0,0108623677;29101012200000
GMI;1415;2815011;Ostróda;;13056;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13521;0;827036;PL.PZGIK.200;37cfb9df-2b35-4fc9-8858-f7bbce4284ec;2012-09-26T22:21:42+02:00;EGIB;2815011;;;UZG;0;827036;0;;0;0;0,3452909392;0,0019256401;51074325500000
GMI;8832;2862011;Olsztyn;;13061;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13526;0;827063;PL.PZGIK.200;742dbcf2-b2f7-4cdf-9653-c156ddd2375e;2012-09-26T22:22:09+02:00;EGIB;2862011;;;UZG;0;827063;0;;0;0;0,7065596875;0,0120385749;51074236200000
