JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
POW;127018;0604;powiat hrubieszowski;;13411;8.06.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;273402;0;828989;PL.PZGIK.200;17cf384c-2779-403c-bb14-ed710f1ff02a;2022-06-08T07:32:46+02:00;EGIB;0604;;;UZG;0;1364354;0;;0;0;3,5537275877;0,1617500854;95036886500000
POW;22362;2412;powiat rybnicki;;13421;25.08.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;286937;0;829243;PL.PZGIK.200;9c39e4bb-4685-437f-901b-96f664bc5c57;2022-08-25T13:29:51+02:00;EGIB;2412;;;UZG;0;1365286;0;;0;0;2,0258240923;0,0281064843;27625514000000
POW;68300;2261;powiat Gdańsk;;13420;5.09.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;289725;0;829232;PL.PZGIK.200;8cf8521f-bd14-4b8b-85f4-bcb444263e72;2022-09-05T10:28:26+02:00;EGIB;2261;;;UZG;0;1365469;0;;0;0;2,0028042045;0,0945157017;19167557000000
POW;138991;0802;powiat krośnieński;;13414;13.10.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;298589;0;829061;PL.PZGIK.200;998463ac-fc60-4918-8b84-d52ff85b643e;2022-10-13T15:12:08+02:00;EGIB;0802;;;UZG;0;1365777;0;;0;0;2,8900719766;0,181978216;37044051900000
POW;167958;0609;powiat lubelski;;13411;25.10.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;300307;0;828994;PL.PZGIK.200;11b56e2e-4386-43bd-813c-e616089d2e3c;2022-10-25T13:22:22+02:00;EGIB;0609;;;UZG;0;1365859;0;;0;0;4,8885409872;0,215704048;43101950800000
POW;186909;3206;powiat gryfiński;;13423;26.10.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;300431;0;829298;PL.PZGIK.200;17d1a859-cb58-476e-9baa-f2cb36688e05;2022-10-26T12:41:47+02:00;EGIB;3206;;;UZG;0;1365888;0;;0;0;3,5889205436;0,2502909937;81168396500000
POW;128744;2215;powiat wejherowski;;13420;10.11.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;303501;0;829230;PL.PZGIK.200;c2d26b98-7beb-464c-b95a-f466e058aa4f;2022-11-10T09:40:10+01:00;EGIB;2215;;;UZG;0;1365988;0;;0;0;3,0012977046;0,1789274079;19167514900000
POW;168101;0602;powiat biłgorajski;;13411;5.12.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;310002;0;828987;PL.PZGIK.200;ce4accdf-9d05-4b6d-be68-f383bc4cf93a;2022-12-05T14:03:23+01:00;EGIB;0602;;;UZG;0;1366354;0;;0;0;4,8971424581;0,2130401752;95036901400000
POW;115642;1817;powiat sanocki;;13415;6.12.2022;2.01.1;1.01.2017;2.01.1;;;NZN;BRK;311046;0;1331301;PL.PZGIK.200;00d02105-cbd3-45ef-837b-ea0fa86bf60c;2022-12-06T10:25:37+01:00;EGIB;1817;;;UZG;0;1366359;0;;0;0;2,4270906995;0,143426472;37044070300000
POW;154990;1210;powiat nowosądecki;;13412;6.12.2022;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;311047;0;1331311;PL.PZGIK.200;27013993-b504-487f-aca8-9f17768d81b4;2022-12-06T10:43:09+01:00;EGIB;1210;;;UZG;0;1366374;0;;0;0;3,712101851;0,1925942264;49189318000000
